0	0.3		0.4		0.3		
1	0.301		0.4		0.299		
2	0.3		0.401		0.299		
3	0.3		0.401		0.299		
4	0.299		0.402		0.299		
5	0.299		0.401		0.3		
6	0.298		0.402		0.3		
7	0.298		0.402		0.3		
8	0.298		0.402		0.3		
9	0.297		0.403		0.3		
10	0.297		0.402		0.301		
11	0.296		0.403		0.301		
12	0.296		0.403		0.301		
13	0.296		0.402		0.302		
14	0.296		0.402		0.302		
15	0.296		0.401		0.303		
16	0.295		0.402		0.303		
17	0.294		0.403		0.303		
18	0.294		0.402		0.304		
19	0.293		0.403		0.304		
20	0.293		0.403		0.304		
21	0.292		0.404		0.304		
22	0.293		0.404		0.303		
23	0.293		0.403		0.304		
24	0.293		0.402		0.305		
25	0.292		0.403		0.305		
26	0.292		0.403		0.305		
27	0.292		0.402		0.306		
28	0.292		0.402		0.306		
29	0.292		0.402		0.306		
30	0.292		0.402		0.306		
31	0.292		0.402		0.306		
32	0.293		0.402		0.305		
33	0.293		0.402		0.305		
34	0.293		0.401		0.306		
35	0.292		0.402		0.306		
36	0.293		0.402		0.305		
37	0.292		0.403		0.305		
38	0.292		0.402		0.306		
39	0.291		0.403		0.306		
40	0.29		0.404		0.306		
41	0.29		0.403		0.307		
42	0.29		0.403		0.307		
43	0.289		0.404		0.307		
44	0.289		0.404		0.307		
45	0.289		0.403		0.308		
46	0.289		0.402		0.309		
47	0.288		0.403		0.309		
48	0.288		0.402		0.31		
49	0.287		0.403		0.31		
50	0.287		0.403		0.31		
51	0.287		0.403		0.31		
52	0.288		0.403		0.309		
53	0.288		0.402		0.31		
54	0.289		0.402		0.309		
55	0.289		0.402		0.309		
56	0.289		0.401		0.31		
57	0.288		0.402		0.31		
58	0.288		0.402		0.31		
59	0.288		0.402		0.31		
60	0.288		0.402		0.31		
61	0.288		0.402		0.31		
62	0.288		0.401		0.311		
63	0.289		0.401		0.31		
64	0.288		0.402		0.31		
65	0.287		0.403		0.31		
66	0.288		0.403		0.309		
67	0.288		0.403		0.309		
68	0.289		0.403		0.308		
69	0.288		0.404		0.308		
70	0.289		0.404		0.307		
71	0.289		0.404		0.307		
72	0.289		0.404		0.307		
73	0.29		0.404		0.306		
74	0.29		0.404		0.306		
75	0.29		0.404		0.306		
76	0.29		0.404		0.306		
77	0.29		0.403		0.307		
78	0.291		0.403		0.306		
79	0.291		0.403		0.306		
80	0.291		0.403		0.306		
81	0.292		0.403		0.305		
82	0.292		0.402		0.306		
83	0.292		0.401		0.307		
84	0.292		0.4		0.308		
85	0.292		0.399		0.309		
86	0.293		0.399		0.308		
87	0.293		0.398		0.309		
88	0.293		0.397		0.31		
89	0.293		0.396		0.311		
90	0.293		0.396		0.311		
91	0.293		0.396		0.311		
92	0.293		0.396		0.311		
93	0.293		0.395		0.312		
94	0.293		0.395		0.312		
95	0.292		0.396		0.312		
96	0.293		0.396		0.311		
97	0.293		0.395		0.312		
98	0.293		0.395		0.312		
99	0.293		0.395		0.312		
100	0.292		0.396		0.312		
101	0.292		0.396		0.312		
102	0.292		0.396		0.312		
103	0.292		0.396		0.312		
104	0.292		0.396		0.312		
105	0.291		0.397		0.312		
106	0.291		0.396		0.313		
107	0.29		0.397		0.313		
108	0.29		0.397		0.313		
109	0.291		0.397		0.312		
110	0.292		0.397		0.311		
111	0.292		0.396		0.312		
112	0.293		0.396		0.311		
113	0.293		0.396		0.311		
114	0.293		0.396		0.311		
115	0.293		0.396		0.311		
116	0.294		0.396		0.31		
117	0.293		0.397		0.31		
118	0.292		0.398		0.31		
119	0.291		0.399		0.31		
120	0.291		0.398		0.311		
121	0.291		0.397		0.312		
122	0.291		0.396		0.313		
123	0.291		0.395		0.314		
124	0.291		0.394		0.315		
125	0.29		0.395		0.315		
126	0.29		0.395		0.315		
127	0.291		0.395		0.314		
128	0.291		0.394		0.315		
129	0.29		0.395		0.315		
130	0.29		0.395		0.315		
131	0.291		0.395		0.314		
132	0.291		0.394		0.315		
133	0.292		0.394		0.314		
134	0.291		0.395		0.314		
135	0.29		0.396		0.314		
136	0.289		0.397		0.314		
137	0.29		0.397		0.313		
138	0.291		0.397		0.312		
139	0.292		0.397		0.311		
140	0.292		0.396		0.312		
141	0.293		0.396		0.311		
142	0.294		0.396		0.31		
143	0.294		0.395		0.311		
144	0.294		0.395		0.311		
145	0.294		0.395		0.311		
146	0.294		0.395		0.311		
147	0.293		0.396		0.311		
148	0.293		0.396		0.311		
149	0.292		0.397		0.311		
150	0.293		0.397		0.31		
151	0.292		0.398		0.31		
152	0.292		0.398		0.31		
153	0.292		0.397		0.311		
154	0.292		0.396		0.312		
155	0.292		0.395		0.313		
156	0.292		0.394		0.314		
157	0.291		0.395		0.314		
158	0.291		0.395		0.314		
159	0.291		0.394		0.315		
160	0.29		0.395		0.315		
161	0.289		0.396		0.315		
162	0.289		0.396		0.315		
163	0.29		0.396		0.314		
164	0.29		0.396		0.314		
165	0.289		0.397		0.314		
166	0.289		0.397		0.314		
167	0.289		0.397		0.314		
168	0.289		0.397		0.314		
169	0.29		0.397		0.313		
170	0.29		0.397		0.313		
171	0.29		0.397		0.313		
172	0.29		0.397		0.313		
173	0.289		0.398		0.313		
174	0.289		0.397		0.314		
175	0.289		0.396		0.315		
176	0.289		0.395		0.316		
177	0.289		0.395		0.316		
178	0.288		0.396		0.316		
179	0.288		0.396		0.316		
180	0.289		0.396		0.315		
181	0.288		0.397		0.315		
182	0.288		0.396		0.316		
183	0.288		0.396		0.316		
184	0.287		0.397		0.316		
185	0.287		0.397		0.316		
